"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
5.0E-8,7.160895112658398E-4,7.160850730321233E-4,7.16088743098436E-4,7.16089509923426E-4,7.161080608096855E-4,7.160895110574155E-4
1.0999999999999994E-6,7.160897012238656E-4,7.155183341092466E-4,7.164468356174713E-4,7.160849516929975E-4,7.1757233515769E-4,7.160895110574432E-4
2.1499999999999985E-6,7.16091061203761E-4,7.144984298792717E-4,7.172840419368581E-4,7.161534307116727E-4,7.190744562446527E-4,7.160895110574898E-4
3.1999999999999973E-6,7.161024987427522E-4,7.1342878658254E-4,7.175803552161615E-4,7.164972555082885E-4,7.201131335363466E-4,7.160895110574797E-4
4.25E-6,7.16141528870628E-4,7.125027789462731E-4,7.175635771685169E-4,7.172711465510004E-4,7.206296894513776E-4,7.160895110574664E-4
5.300000000000008E-6,7.162177203663185E-4,7.117878155781151E-4,7.179713038273924E-4,7.184101793655187E-4,7.205952623197372E-4,7.160895110574823E-4
6.3500000000000154E-6,7.163226214247493E-4,7.115923796576521E-4,7.189381916143061E-4,7.197948972024722E-4,7.197277911269013E-4,7.160895110574953E-4
7.400000000000023E-6,7.164384000046901E-4,7.12015154650739E-4,7.205004891758154E-4,7.21451985455329E-4,7.189522159611197E-4,7.160895110574989E-4
8.450000000000017E-6,7.165278127464268E-4,7.126111295204943E-4,7.226908759410947E-4,7.23320040921099E-4,7.186027512285456E-4,7.160895110575002E-4
9.500000000000007E-6,7.165662373425349E-4,7.126411864556963E-4,7.24466559493286E-4,7.251450027154367E-4,7.188199332450091E-4,7.160895110574567E-4
1.0549999999999997E-5,7.166536197174746E-4,7.122437049530519E-4,7.252495690503894E-4,7.267986782382695E-4,7.188872128037454E-4,7.160895110574544E-4
1.1599999999999987E-5,7.175165581794913E-4,7.121115628812384E-4,7.24562246173745E-4,7.27746121933221E-4,7.183571213869323E-4,7.160895110574667E-4
1.2649999999999977E-5,7.181239450810133E-4,7.123677710000583E-4,7.234132943352479E-4,7.278989652835344E-4,7.177173187915753E-4,7.160895110575178E-4
1.3699999999999967E-5,7.181478016151233E-4,7.130196409242391E-4,7.226877187764715E-4,7.27296342994034E-4,7.167639813759867E-4,7.160895110575077E-4
1.4749999999999957E-5,7.179391872785797E-4,7.140408477968423E-4,7.223489909783562E-4,7.261370047382236E-4,7.155720854580867E-4,7.160895110574729E-4
1.5799999999999964E-5,7.174832281985078E-4,7.155052317257082E-4,7.215270658042465E-4,7.246820581418065E-4,7.145798018595716E-4,7.160895110574484E-4
1.684999999999999E-5,7.167055068691191E-4,7.168101186768494E-4,7.199403759257878E-4,7.233353609202394E-4,7.129671286185347E-4,7.160895110574275E-4
1.7900000000000015E-5,7.172747574906207E-4,7.179687554723022E-4,7.187994644346066E-4,7.223841991557418E-4,7.114782888371127E-4,7.160895110574164E-4
1.895000000000004E-5,7.182481292068799E-4,7.192126367422466E-4,7.179312334989994E-4,7.221335367516498E-4,7.110626774691105E-4,7.16089511057428E-4
2.0000000000000066E-5,7.192825085276612E-4,7.205206595118866E-4,7.169239385284989E-4,7.226515427223667E-4,7.111899368031797E-4,7.160895110574228E-4
2.105000000000009E-5,7.200911091103781E-4,7.218802294339486E-4,7.163406591106503E-4,7.236711466539361E-4,7.116616075044923E-4,7.160895110574073E-4
2.2100000000000117E-5,7.203096571608891E-4,7.233437868181551E-4,7.164197367019444E-4,7.250367166216333E-4,7.130386320573507E-4,7.160895110574177E-4
2.3150000000000143E-5,7.200708613286912E-4,7.241871062023624E-4,7.163066024637247E-4,7.263379247117201E-4,7.14541690378651E-4,7.160895110574346E-4
2.4200000000000168E-5,7.198691693353112E-4,7.242661863893713E-4,7.159611369285359E-4,7.270740485707947E-4,7.158125171689136E-4,7.160895110574444E-4
2.5250000000000194E-5,7.198582324492976E-4,7.23574291352271E-4,7.155906883293946E-4,7.274332620373005E-4,7.170570537986001E-4,7.160895110574228E-4
2.630000000000022E-5,7.199970621932843E-4,7.225350675240291E-4,7.156883132741386E-4,7.27914361906005E-4,7.181485513685728E-4,7.160895110574136E-4
2.7350000000000245E-5,7.200991053931905E-4,7.214686532519907E-4,7.157755724583983E-4,7.286031647782582E-4,7.188944583090508E-4,7.160895110573918E-4
2.840000000000027E-5,7.201594551332204E-4,7.207093188994305E-4,7.15895659577891E-4,7.294699066711636E-4,7.188331428676634E-4,7.160895110573863E-4
2.9450000000000296E-5,7.201120810684751E-4,7.203267269312505E-4,7.160609257506635E-4,7.304826768694946E-4,7.180534779198551E-4,7.160895110574036E-4
3.050000000000032E-5,7.199581577943413E-4,7.202524743766237E-4,7.16313182411433E-4,7.31430281842263E-4,7.169058322484353E-4,7.160895110574226E-4
3.155000000000035E-5,7.197105074174805E-4,7.205825240338767E-4,7.168865065310556E-4,7.319337530364655E-4,7.156301676999589E-4,7.16089511057403E-4
3.260000000000037E-5,7.194399337618423E-4,7.212987855889095E-4,7.178175028726115E-4,7.322713254274212E-4,7.143317653626014E-4,7.160895110574183E-4
3.36500000000004E-5,7.192470915360356E-4,7.221569400623617E-4,7.18936918807175E-4,7.326615490903398E-4,7.132550707619398E-4,7.160895110574344E-4
3.470000000000042E-5,7.191660082788326E-4,7.229982918566897E-4,7.201486817065962E-4,7.331566240465161E-4,7.126020873267733E-4,7.160895110574447E-4
3.575000000000045E-5,7.191683944735538E-4,7.236513544435505E-4,7.211724364869433E-4,7.338352245581968E-4,7.122704244571041E-4,7.160895110574647E-4
3.6800000000000474E-5,7.192203644281791E-4,7.239465682766715E-4,7.218113148598298E-4,7.346516206391998E-4,7.121425540846255E-4,7.160895110574721E-4
3.78500000000005E-5,7.192906416529698E-4,7.240222857847773E-4,7.222474864302109E-4,7.355654310233461E-4,7.12415054260367E-4,7.160895110574369E-4
3.8900000000000525E-5,7.193582109734424E-4,7.239603508876124E-4,7.229876296523544E-4,7.368279169451053E-4,7.125913550706197E-4,7.160895110574579E-4
3.995000000000055E-5,7.194513802414795E-4,7.238938609726656E-4,7.240947736889948E-4,7.383788895044122E-4,7.124096590555142E-4,7.16089511057447E-4
4.1000000000000576E-5,7.196085161523468E-4,7.240387176958025E-4,7.25418833779206E-4,7.396887373603822E-4,7.120421380372132E-4,7.160895110574152E-4
4.21000000000006E-5,7.199124761837071E-4,7.244367666586146E-4,7.26471626551733E-4,7.405140740900026E-4,7.114531733664168E-4,7.160895110574286E-4
4.315000000000063E-5,7.203970744734732E-4,7.25023726764821E-4,7.270165777245967E-4,7.409103517323438E-4,7.114779951893489E-4,7.160895110574314E-4
4.4200000000000654E-5,7.210865529737772E-4,7.25744562563991E-4,7.274709173777519E-4,7.410733010937904E-4,7.125247930337466E-4,7.160895110574065E-4
4.525000000000068E-5,7.219255894389177E-4,7.264717525683326E-4,7.280674279859483E-4,7.409374887470748E-4,7.139513897495832E-4,7.160895110574313E-4
4.6300000000000705E-5,7.227831633525031E-4,7.271583625954338E-4,7.291061148853264E-4,7.403472661007134E-4,7.154125267281119E-4,7.160895110574449E-4
4.735000000000073E-5,7.235187048947483E-4,7.277683823344492E-4,7.304665391414316E-4,7.392023460827575E-4,7.167039381977738E-4,7.160895110574677E-4
4.8400000000000756E-5,7.240855205679574E-4,7.282459019102572E-4,7.318723478860588E-4,7.376103711749456E-4,7.175623697586944E-4,7.160895110574485E-4
4.945000000000078E-5,7.244905064812721E-4,7.286155173120547E-4,7.331788871799651E-4,7.3603884071791E-4,7.179999198736756E-4,7.16089511057454E-4
5.050000000000081E-5,7.247616442453197E-4,7.288305583166909E-4,7.342162594333552E-4,7.349244443240397E-4,7.183784224513027E-4,7.160895110574647E-4
5.155000000000083E-5,7.249551278144518E-4,7.289130570685295E-4,7.348506952883204E-4,7.343647316599881E-4,7.189596882061915E-4,7.160895110574453E-4
5.260000000000086E-5,7.250646757314833E-4,7.291026411271949E-4,7.352367328403344E-4,7.341020295245934E-4,7.196803527230657E-4,7.160895110574689E-4
5.3650000000000884E-5,7.25089068582575E-4,7.293288436189985E-4,7.353142825944362E-4,7.338898427647726E-4,7.203364006611392E-4,7.160895110574725E-4
5.470000000000091E-5,7.250713215869083E-4,7.293944664408072E-4,7.349603818713359E-4,7.338717575812083E-4,7.206312434651631E-4,7.160895110574939E-4
5.5750000000000935E-5,7.250201059279237E-4,7.292505013598476E-4,7.343049816725551E-4,7.3415104756798E-4,7.204072516340232E-4,7.160895110575091E-4
5.680000000000096E-5,7.24938986008744E-4,7.289590197027536E-4,7.333166281343404E-4,7.348336612593089E-4,7.197104087555657E-4,7.160895110574751E-4
5.7850000000000986E-5,7.249058324751876E-4,7.284009074156384E-4,7.32107070715327E-4,7.358076556050276E-4,7.186234041277565E-4,7.160895110574783E-4
5.890000000000101E-5,7.249321786806543E-4,7.275235845616631E-4,7.310236370099867E-4,7.368862791730938E-4,7.17266782542132E-4,7.160895110574652E-4
5.995000000000104E-5,7.250042934642704E-4,7.265807920676736E-4,7.301420941782348E-4,7.378331935317603E-4,7.159212084616887E-4,7.160895110574736E-4
6.100000000000106E-5,7.251789597581071E-4,7.258173427126676E-4,7.29341176027172E-4,7.384547203306721E-4,7.147827120343025E-4,7.160895110574453E-4
6.205000000000109E-5,7.254930813200144E-4,7.251119835802395E-4,7.285478100013339E-4,7.388531397124063E-4,7.139957532846824E-4,7.160895110574865E-4
6.310000000000111E-5,7.259612351057169E-4,7.243251277580258E-4,7.277980314282776E-4,7.392840298919861E-4,7.1329097769605E-4,7.160895110574854E-4
6.415000000000114E-5,7.26628850373065E-4,7.236915892921119E-4,7.271995919847731E-4,7.397727970347912E-4,7.124508612633796E-4,7.16089511057438E-4
6.520000000000116E-5,7.274410061643195E-4,7.233309739124115E-4,7.268447538356782E-4,7.40239453715551E-4,7.115971145174164E-4,7.160895110574423E-4
6.625000000000119E-5,7.282980160489817E-4,7.230683121528706E-4,7.26764389911075E-4,7.408218137489259E-4,7.10679600026625E-4,7.16089511057444E-4
6.730000000000122E-5,7.290286290104664E-4,7.23073928358879E-4,7.268089059372081E-4,7.413686308712961E-4,7.099575664631846E-4,7.160895110574635E-4
6.835000000000124E-5,7.295306140713481E-4,7.234955041894153E-4,7.268478596545377E-4,7.419512627787982E-4,7.096329358079535E-4,7.160895110574835E-4
6.940000000000127E-5,7.298480061778196E-4,7.242678525342604E-4,7.268237129813421E-4,7.426089600203056E-4,7.096824651542185E-4,7.160895110574711E-4
7.045000000000129E-5,7.300509868444349E-4,7.253133830895587E-4,7.268851515860489E-4,7.433425698745505E-4,7.101375484389849E-4,7.160895110574732E-4
7.150000000000132E-5,7.301948612770958E-4,7.266531440797076E-4,7.271563784048204E-4,7.442620338509264E-4,7.108621589783939E-4,7.16089511057467E-4
7.255000000000134E-5,7.303772646255174E-4,7.280746681838105E-4,7.275036635376973E-4,7.450196128690775E-4,7.118432027936862E-4,7.160895110574758E-4
7.360000000000137E-5,7.305631857829818E-4,7.293620655453772E-4,7.27717862882557E-4,7.455272287822199E-4,7.131648097832937E-4,7.160895110574898E-4
7.46500000000014E-5,7.307295090419163E-4,7.303566699910104E-4,7.277200169655971E-4,7.458455830524465E-4,7.14799379358921E-4,7.160895110575039E-4
7.570000000000142E-5,7.308993815142369E-4,7.309391978717081E-4,7.275730048303922E-4,7.460032662890432E-4,7.167141676674999E-4,7.160895110575251E-4
7.675000000000145E-5,7.31082326883909E-4,7.311354384898453E-4,7.274606558906448E-4,7.459444312759176E-4,7.189490149751194E-4,7.160895110575278E-4
7.780000000000147E-5,7.31319722259025E-4,7.311201094632917E-4,7.275124842743698E-4,7.456443794704153E-4,7.208470143696413E-4,7.160895110575097E-4
7.88500000000015E-5,7.317625734957048E-4,7.311951648980099E-4,7.278016444950955E-4,7.451051922750807E-4,7.221331788877991E-4,7.16089511057498E-4
7.990000000000152E-5,7.324663944959478E-4,7.315943173205684E-4,7.282306339360094E-4,7.44395378973935E-4,7.228453581306906E-4,7.160895110574642E-4
8.095000000000155E-5,7.333658611218153E-4,7.323285014506994E-4,7.28594426573997E-4,7.436287988027689E-4,7.229724124736894E-4,7.160895110574537E-4
8.200000000000157E-5,7.342982147623417E-4,7.33337638956445E-4,7.288296702395908E-4,7.427395003888745E-4,7.225387732867552E-4,7.160895110574869E-4
8.30500000000016E-5,7.350270162193046E-4,7.346370004436558E-4,7.290849735349856E-4,7.418080910888021E-4,7.217391063399103E-4,7.160895110574883E-4
8.415000000000163E-5,7.353649840727986E-4,7.361572112696586E-4,7.294181178924184E-4,7.409008122321511E-4,7.208916044532411E-4,7.160895110574654E-4
8.520000000000165E-5,7.353320442944731E-4,7.375536352501941E-4,7.298633653897657E-4,7.401686173015454E-4,7.20349620003808E-4,7.16089511057407E-4
8.625000000000168E-5,7.350740117735079E-4,7.386253062506472E-4,7.304435226967276E-4,7.396302365847741E-4,7.200422023186162E-4,7.160895110573995E-4
8.73000000000017E-5,7.346639170326455E-4,7.391466934733643E-4,7.309363229482023E-4,7.394880154277834E-4,7.199614939417213E-4,7.160895110574105E-4
8.835000000000173E-5,7.342193210467846E-4,7.392795251486076E-4,7.312433139160686E-4,7.395305476418147E-4,7.201756088097484E-4,7.160895110574139E-4
8.940000000000175E-5,7.33825695189196E-4,7.391183825783786E-4,7.313507741481876E-4,7.395924574276192E-4,7.205508715681037E-4,7.160895110574209E-4
9.045000000000178E-5,7.335128524674202E-4,7.387444679549358E-4,7.311828147702221E-4,7.395494472967273E-4,7.209109249540354E-4,7.160895110574599E-4
9.15000000000018E-5,7.33314552834782E-4,7.38288879643747E-4,7.308009692258838E-4,7.393168177685801E-4,7.213419597115314E-4,7.16089511057407E-4
9.255000000000183E-5,7.33298019720908E-4,7.378698738244031E-4,7.302868057882413E-4,7.391151902968924E-4,7.216598323374873E-4,7.160895110574209E-4
9.360000000000186E-5,7.334716638523906E-4,7.37493973728117E-4,7.298271225324373E-4,7.3895152361703E-4,7.217887793723672E-4,7.160895110574116E-4
9.465000000000188E-5,7.337937286634077E-4,7.372751585990015E-4,7.295719788619424E-4,7.388005303112704E-4,7.217232630257786E-4,7.160895110574214E-4
9.57000000000019E-5,7.34053962097936E-4,7.372511710271001E-4,7.295639975926178E-4,7.386422872788447E-4,7.214415662690257E-4,7.160895110574387E-4
9.675000000000193E-5,7.366395998013143E-4,7.375248963550546E-4,7.297273652376496E-4,7.383979500431369E-4,7.209780416586264E-4,7.160895110574354E-4
9.780000000000196E-5,0.0016957524717929762,7.378410376125322E-4,7.299799117173013E-4,7.379851145117272E-4,7.203851803558302E-4,7.160895110574344E-4
