"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
5.0E-8,7.153527825879901E-4,7.152913405644946E-4,7.152649054868958E-4,7.154361163412832E-4,7.154604630312661E-4,7.153026442877744E-4
2.0499999999999986E-6,7.091007690034442E-4,7.098949357303635E-4,7.110409056117425E-4,7.063844166068401E-4,7.071028121108826E-4,7.103159052007052E-4
4.0499999999999985E-6,7.25259630254435E-4,7.262458302781436E-4,7.285512071615916E-4,7.217919319359677E-4,7.211123453706909E-4,7.264905215324429E-4
6.050000000000013E-6,7.410621643240195E-4,7.428565878553392E-4,7.465123496318249E-4,7.3474060483036E-4,7.34654033614576E-4,7.431495392808247E-4
8.10000000000002E-6,7.568004521617774E-4,7.592106793193418E-4,7.637598774493182E-4,7.478057284146175E-4,7.47744354053854E-4,7.593654924301114E-4
1.0100000000000002E-5,7.708559254884182E-4,7.73749434403432E-4,7.793089991068531E-4,7.595960812004881E-4,7.594682082187106E-4,7.740623160387144E-4
1.2099999999999982E-5,7.836709968652242E-4,7.871077770622995E-4,7.936018415337639E-4,7.706736637869906E-4,7.703656860608658E-4,7.875980985993397E-4
1.4149999999999963E-5,7.949784361819354E-4,7.989070654945942E-4,8.062686919667848E-4,7.802936877622663E-4,7.801509611856115E-4,7.995617207308313E-4
1.6149999999999972E-5,8.035202737455344E-4,8.078908295849171E-4,8.159519427193418E-4,7.871000667343036E-4,7.869217719396866E-4,8.084720821918682E-4
1.815000000000002E-5,8.119951834604518E-4,8.167827850170495E-4,8.251474774227325E-4,7.937598624786842E-4,7.923357673807987E-4,8.169822659355869E-4
2.020000000000007E-5,8.229690821700899E-4,8.281098961869909E-4,8.369316782044495E-4,8.034219882805982E-4,8.013585481685144E-4,8.284225050167512E-4
2.220000000000012E-5,8.358491348993303E-4,8.412541741295716E-4,8.506166261553688E-4,8.153827643265614E-4,8.142921741521781E-4,8.419895481757289E-4
2.4200000000000168E-5,8.492410019304577E-4,8.548648535735407E-4,8.647030522869981E-4,8.280590816215188E-4,8.279240914578493E-4,8.549210520254422E-4
2.6250000000000218E-5,8.608310488371749E-4,8.667499960796525E-4,8.768079970281608E-4,8.387933304612768E-4,8.386064681810314E-4,8.639949603829155E-4
2.8250000000000267E-5,8.697590342937521E-4,8.759452247459873E-4,8.861369817004506E-4,8.467581522706283E-4,8.460744964505283E-4,8.699477479084192E-4
3.0250000000000315E-5,8.768652216692283E-4,8.832325134472993E-4,8.937456020548859E-4,8.531129409637372E-4,8.522277476186042E-4,8.754124272937937E-4
3.2300000000000365E-5,8.833366123123843E-4,8.898472969136391E-4,9.006334782633642E-4,8.588409271013579E-4,8.577056493208622E-4,8.81721446858645E-4
3.4300000000000414E-5,8.893446978741805E-4,8.960471031574756E-4,9.070385768579673E-4,8.64188709215592E-4,8.62594848898679E-4,8.885420498980216E-4
3.630000000000046E-5,8.96125366054737E-4,9.029885407330421E-4,9.140889024452312E-4,8.703541329178753E-4,8.68160102811034E-4,8.965209367320071E-4
3.835000000000051E-5,9.042852266504432E-4,9.1134040751969E-4,9.224775308470514E-4,8.780526106514946E-4,8.757630242848751E-4,9.060532914792956E-4
4.035000000000056E-5,9.13286390210673E-4,9.204712874861408E-4,9.317628565711696E-4,8.868284272115778E-4,8.854239048731047E-4,9.160548329683752E-4
4.235000000000061E-5,9.220476699607407E-4,9.292858427196276E-4,9.407919987944002E-4,8.95331966457767E-4,8.950292051964821E-4,9.25489981971435E-4
4.435000000000066E-5,9.29367602460631E-4,9.367120246058871E-4,9.484470104832749E-4,9.023757609853459E-4,9.02077632714549E-4,9.330784262035577E-4
4.640000000000071E-5,9.3502978699679E-4,9.424719622409409E-4,9.543697071840711E-4,9.075609740533699E-4,9.065767316973259E-4,9.388317876344407E-4
4.8400000000000756E-5,9.394054410152492E-4,9.46956444579571E-4,9.589901389378032E-4,9.116459036609594E-4,9.100506103072791E-4,9.432945311863121E-4
5.0400000000000805E-5,9.436198901207508E-4,9.512672057904955E-4,9.633307147491416E-4,9.155743144883927E-4,9.135559672766504E-4,9.474831613547791E-4
5.2450000000000855E-5,9.483061543280583E-4,9.560695095458453E-4,9.681953487404477E-4,9.200962172006146E-4,9.178684467754205E-4,9.524069819476378E-4
5.44500000000009E-5,9.537686794935719E-4,9.616428123861771E-4,9.737532388907736E-4,9.253732716472773E-4,9.230949683532005E-4,9.58181431943873E-4
5.645000000000095E-5,9.600698068530864E-4,9.680352681771673E-4,9.80199051847866E-4,9.315429480532313E-4,9.296466854409049E-4,9.649499226491791E-4
5.8500000000001E-5,9.669061773585354E-4,9.748656873389882E-4,9.872128652886549E-4,9.382222229799678E-4,9.372495790287801E-4,9.72221107029525E-4
6.050000000000105E-5,9.729144743048192E-4,9.808339562263973E-4,9.934522844031908E-4,9.441160799610696E-4,9.43783469783256E-4,9.785169374229002E-4
6.25000000000011E-5,9.777505199499142E-4,9.8569299895429E-4,9.985398351989782E-4,9.48798674194974E-4,9.482510064393432E-4,9.833787228203251E-4
6.455000000000115E-5,9.814588332724115E-4,9.894782649967843E-4,0.001002397744519943,9.523263211010202E-4,9.509633171081074E-4,9.869863260435602E-4
6.65500000000012E-5,9.845819619012277E-4,9.92713593902484E-4,0.0010055365568789633,9.553990664440899E-4,9.532534741670796E-4,9.900594646146228E-4
6.855000000000125E-5,9.878119120926192E-4,9.960661513025275E-4,0.0010087444506757773,9.585777694431226E-4,9.561117894894985E-4,9.933430318548688E-4
7.06000000000013E-5,9.917283029819916E-4,0.0010001035439623621,0.001012659943970215,9.624917854332605E-4,9.601184978320106E-4,9.974781435339254E-4
7.260000000000134E-5,9.963063004985082E-4,0.001004777713112322,0.0010172775957102418,9.670602573899021E-4,9.650900230608049E-4,0.0010023732215974756
7.460000000000139E-5,0.0010014036918156797,0.0010098983676730476,0.0010224729992989639,9.721068974657735E-4,9.707465326398783E-4,0.001007790879203272
7.665000000000144E-5,0.0010064502066749201,0.001014934722917705,0.0010277202109082808,9.77113509980504E-4,9.764137517607346E-4,0.0010130819735606079
7.865000000000149E-5,0.0010106850786098002,0.0010192059856907062,0.001032170034093352,9.813647696043362E-4,9.808182774118906E-4,0.0010174326905809034
8.065000000000154E-5,0.0010139653418321638,0.0010225480246066384,0.0010355849801543778,9.846285445966171E-4,9.836240845160563E-4,0.0010206612383403394
8.270000000000159E-5,0.0010165995478508413,0.0010253223217631525,0.0010382350839145558,9.872664624749673E-4,9.854568969439959E-4,0.0010232346041761193
8.470000000000164E-5,0.0010190689165269606,0.001027937222270237,0.0010405876992582539,9.89753008009349E-4,9.873140807337298E-4,0.0010256635575276896
8.670000000000169E-5,0.0010218077537744272,0.0010308321805616878,0.00104323389126171,9.925423519088683E-4,9.89973419887343E-4,0.001028513452708778
8.870000000000174E-5,0.0010251303642919846,0.00103426534035208,0.0010465259668810197,9.959120330100164E-4,9.937236329311302E-4,0.0010320394418667376
9.075000000000179E-5,0.001029106051611662,0.001038266813194467,0.0010505621393219824,9.999067414953394E-4,9.983672569915632E-4,0.00103625931942647
9.275000000000183E-5,0.0010331790755452324,0.0010422988597989704,0.0010547819607424277,0.001003968962407094,0.0010030120189046974,0.0010404953602490476
9.475000000000188E-5,0.0010368759280580033,0.0010459594047964092,0.0010586828426348747,0.0010076689734401741,0.0010070403430162502,0.0010443077199463594
9.680000000000193E-5,0.001039981242484571,0.001049090907576948,0.0010619494318798,0.0010108140319559351,0.0010099705483087034,0.0010473850897061705
9.880000000000198E-5,0.001042322552862112,0.0010515191816171767,0.0010643183785840169,0.0010132148981145906,0.001011784429251504,0.0010496626653831815
