Time,TS00,TS01,TS02,TS03,TS04,TS05
4.999999999999999774e-08,4.227495779679088348e-07,4.227495726683526502e-07,4.227495567300724420e-07,4.227495814888889536e-07,4.227495799590915996e-07,4.227495712261918131e-07
1.001900000000115155e-03,6.638251062116803144e-05,4.296558119925082849e-05,3.402008554358866793e-05,2.069894311322327042e-05,9.928387930217285698e-06,6.126881843980494043e-06
2.001799999998724305e-03,8.255307674753972725e-05,8.776626322907472670e-05,8.897487505650745760e-05,8.513588975413419787e-05,6.976182886952054379e-05,1.126782621202212337e-04
3.001700000001458844e-03,8.305651754700277094e-05,1.137483372690312346e-04,2.475901739016669444e-04,2.921061081664454574e-04,3.061748435213956223e-04,1.242876294366750611e-04
4.001550000003366650e-03,3.487125541726326873e-04,3.170331810271426426e-04,3.219409133648124910e-04,3.254090419804341852e-04,3.033556241648102214e-04,1.247923291101432793e-04
5.001449999997428439e-03,5.194414896995415941e-04,3.699922958441474426e-04,3.720179911682930970e-04,3.707118916784400914e-04,3.584797014394156467e-04,1.774248467716886025e-04
6.001299999991490525e-03,5.568620837723146965e-04,4.400707429518882496e-04,4.249429851757567135e-04,4.257991577069386341e-04,4.148345091598782059e-04,1.849547195132403342e-04
7.001199999985552314e-03,7.049472342565756564e-04,4.748166439263826221e-04,4.370919078251722613e-04,4.398325811049884283e-04,4.096616203042960131e-04,1.816645961076816091e-04
8.001099999979614102e-03,6.591495498269975576e-04,5.406771048735040195e-04,4.273302332967289572e-04,4.364854706645388840e-04,4.540567374367780284e-04,2.056253621477871247e-04
9.000949999973676188e-03,6.767059927809707066e-04,4.544413540986457314e-04,4.314896916423616169e-04,4.367111408916820019e-04,4.201341478761478091e-04,1.813190807852822350e-04
9.585999999970201690e-03,6.663818037131346347e-04,4.186571585972540498e-04,4.164718706454780938e-04,4.178624922444786494e-04,3.927913131390175106e-04,1.756103449334489716e-04
