"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
5.0E-8,7.160895112658398E-4,7.160850730321233E-4,7.16088743098436E-4,7.16089509923426E-4,7.161080608096855E-4,7.160895110574155E-4
1.0999999999999994E-6,7.160897012238656E-4,7.155183341092466E-4,7.164468356174713E-4,7.160849516929975E-4,7.1757233515769E-4,7.160895110574432E-4
2.1499999999999985E-6,7.16091061203761E-4,7.144984298792717E-4,7.172840419368581E-4,7.161534307116727E-4,7.190744562446527E-4,7.160895110574898E-4
3.1999999999999973E-6,7.161024987427522E-4,7.1342878658254E-4,7.175803552161615E-4,7.164972555082885E-4,7.201131335363466E-4,7.160895110574797E-4
4.25E-6,7.16141528870628E-4,7.125027789462731E-4,7.175635771685169E-4,7.172711465510004E-4,7.206296894513776E-4,7.160895110574664E-4
5.300000000000008E-6,7.162175917082031E-4,7.118157998673235E-4,7.179557754747503E-4,7.184095263086547E-4,7.204532116069233E-4,7.160895110574875E-4
6.3500000000000154E-6,7.163255171145963E-4,7.121688218000995E-4,7.184413900517867E-4,7.198070922512771E-4,7.186762317796118E-4,7.160895110574938E-4
7.400000000000023E-6,7.164524636379826E-4,7.135183455674893E-4,7.19398662095282E-4,7.213057428819749E-4,7.173378075633548E-4,7.160895110574853E-4
8.450000000000017E-6,7.165169488004718E-4,7.1536533807424E-4,7.21488404401827E-4,7.22715133929802E-4,7.167340757444061E-4,7.160895110575118E-4
9.500000000000007E-6,7.165096140645919E-4,7.170342067493731E-4,7.23701837666777E-4,7.239376375965877E-4,7.170412001556252E-4,7.160895110574937E-4
1.0549999999999997E-5,7.164948822933673E-4,7.177918307337246E-4,7.250931866597042E-4,7.248183855253888E-4,7.182967502882284E-4,7.160895110574642E-4
1.1599999999999987E-5,7.165400221341074E-4,7.178204075635692E-4,7.255726733109375E-4,7.252507545406044E-4,7.202535011367301E-4,7.160895110574594E-4
1.2649999999999977E-5,7.166888934658618E-4,7.173648257439377E-4,7.248084394700506E-4,7.248514446958011E-4,7.222344106088775E-4,7.160895110574657E-4
1.3699999999999967E-5,7.170061728157182E-4,7.166272023924658E-4,7.234883215769311E-4,7.237811179548652E-4,7.235545436917292E-4,7.160895110574951E-4
1.4749999999999957E-5,7.174435727772083E-4,7.160355025660873E-4,7.222322672703356E-4,7.225915257760344E-4,7.242934104040557E-4,7.160895110574679E-4
1.5799999999999964E-5,7.179229871824998E-4,7.162307484460654E-4,7.211694475185239E-4,7.215731257981842E-4,7.245084191167617E-4,7.160895110574751E-4
1.684999999999999E-5,7.184751442287496E-4,7.170332101259526E-4,7.203974969938028E-4,7.20867897619469E-4,7.246279947212645E-4,7.160895110574472E-4
1.7900000000000015E-5,7.191031920609895E-4,7.181486906125421E-4,7.203792827272022E-4,7.205653253734115E-4,7.252283830115972E-4,7.160895110574364E-4
1.895000000000004E-5,7.196705185866508E-4,7.193413685060802E-4,7.210525725711507E-4,7.207013210093881E-4,7.262462705015161E-4,7.160895110574552E-4
2.0000000000000066E-5,7.201479626726596E-4,7.20284678074326E-4,7.220191808838179E-4,7.209382652744618E-4,7.273637666877952E-4,7.160895110574491E-4
2.105000000000009E-5,7.20512156651359E-4,7.208505896730014E-4,7.230520237540776E-4,7.210916413547774E-4,7.282277379078434E-4,7.160895110574158E-4
2.2100000000000117E-5,7.207414433170513E-4,7.210411215816804E-4,7.240020222718997E-4,7.216622242144361E-4,7.28659493879221E-4,7.160895110574158E-4
2.3150000000000143E-5,7.208058146049078E-4,7.210506407535486E-4,7.247352682368937E-4,7.226414242460646E-4,7.285141113778708E-4,7.160895110574021E-4
2.4200000000000168E-5,7.207604921364019E-4,7.210247761226273E-4,7.252386294033011E-4,7.233487504058414E-4,7.278760311797116E-4,7.160895110573997E-4
2.5250000000000194E-5,7.206120625386213E-4,7.210000637768416E-4,7.256327749730682E-4,7.2374099274229E-4,7.270225037075688E-4,7.160895110573927E-4
2.630000000000022E-5,7.203689564120837E-4,7.210098173396481E-4,7.256651797042011E-4,7.240336164404691E-4,7.260996035610483E-4,7.160895110573828E-4
2.7350000000000245E-5,7.200987176234071E-4,7.20928536499392E-4,7.253008335160844E-4,7.243992287230586E-4,7.251955214480986E-4,7.16089511057383E-4
2.840000000000027E-5,7.199448854067411E-4,7.208352546634567E-4,7.249001799991733E-4,7.24449818940631E-4,7.249636187265768E-4,7.16089511057409E-4
2.9450000000000296E-5,7.199211156177615E-4,7.207996393654542E-4,7.245469524455972E-4,7.242092664788068E-4,7.252315226464388E-4,7.160895110574475E-4
3.050000000000032E-5,7.199955273588381E-4,7.208623427185533E-4,7.243547958964479E-4,7.236576344021578E-4,7.256201517677295E-4,7.160895110574272E-4
3.155000000000035E-5,7.201801211747375E-4,7.211854133232777E-4,7.244927598063465E-4,7.226963769848197E-4,7.259026987672693E-4,7.160895110574181E-4
3.260000000000037E-5,7.204811756608485E-4,7.216876288681201E-4,7.247178862723555E-4,7.212427146252354E-4,7.258796685803568E-4,7.160895110574242E-4
3.36500000000004E-5,7.207445782704273E-4,7.222910772551106E-4,7.250092788613192E-4,7.203188945046235E-4,7.256125123837656E-4,7.160895110574658E-4
3.470000000000042E-5,7.208574050361085E-4,7.229034590121567E-4,7.254163476307626E-4,7.201793914354265E-4,7.256320080665622E-4,7.160895110574603E-4
3.575000000000045E-5,7.208502394553115E-4,7.234059818891116E-4,7.258036821037605E-4,7.20748141675717E-4,7.261445029661372E-4,7.160895110574563E-4
3.6800000000000474E-5,7.207998572626214E-4,7.23620198914412E-4,7.261126629795123E-4,7.217206925124577E-4,7.268580573744502E-4,7.160895110574547E-4
3.78500000000005E-5,7.206859898955698E-4,7.23634573104934E-4,7.265513448656141E-4,7.223844618508029E-4,7.273243549879144E-4,7.160895110574361E-4
3.8900000000000525E-5,7.205031095909563E-4,7.237096153711971E-4,7.268923070805664E-4,7.226412526334103E-4,7.273813184115492E-4,7.160895110574532E-4
3.995000000000055E-5,7.203335879564753E-4,7.2391398941953E-4,7.271333411037099E-4,7.229972228364941E-4,7.270062588026027E-4,7.160895110574661E-4
4.1000000000000576E-5,7.202262163935585E-4,7.240959261550872E-4,7.27246723182358E-4,7.238043677089534E-4,7.262750037638262E-4,7.160895110574639E-4
4.21000000000006E-5,7.201507045347172E-4,7.242032345935784E-4,7.272839136902631E-4,7.25003572892787E-4,7.253561937519091E-4,7.160895110574127E-4
4.315000000000063E-5,7.201889692029991E-4,7.243128926321204E-4,7.270784628843554E-4,7.262844927415153E-4,7.249148686154196E-4,7.160895110574194E-4
4.4200000000000654E-5,7.203040295321599E-4,7.243659531287612E-4,7.266320290798018E-4,7.271512320536502E-4,7.248994519553412E-4,7.160895110574317E-4
4.525000000000068E-5,7.204829387945427E-4,7.243805321516689E-4,7.260728093605053E-4,7.273880515082023E-4,7.250686630325178E-4,7.160895110574209E-4
4.6300000000000705E-5,7.207410907152271E-4,7.24545721299325E-4,7.255379877329849E-4,7.269145295085073E-4,7.254952982324077E-4,7.160895110574462E-4
4.735000000000073E-5,7.21055225226633E-4,7.248263979243393E-4,7.250506322463913E-4,7.259882237463436E-4,7.259717525637969E-4,7.160895110574317E-4
4.8400000000000756E-5,7.213891832493287E-4,7.252205281381231E-4,7.246634172653782E-4,7.253261505333327E-4,7.263671174621802E-4,7.1608951105745E-4
4.945000000000078E-5,7.217536649835897E-4,7.255789897921241E-4,7.243811224454883E-4,7.25198884604484E-4,7.266745476096138E-4,7.160895110574484E-4
5.050000000000081E-5,7.221774077692026E-4,7.257825758852697E-4,7.24323929081763E-4,7.256448839525744E-4,7.26770201437082E-4,7.160895110574428E-4
5.155000000000083E-5,7.226766813767482E-4,7.258812617042793E-4,7.246424793169113E-4,7.265159688587007E-4,7.264700329252828E-4,7.160895110574483E-4
5.260000000000086E-5,7.232719852927105E-4,7.257730692904578E-4,7.251214015074099E-4,7.274168353076978E-4,7.260642926488221E-4,7.160895110574618E-4
5.3650000000000884E-5,7.239037127481796E-4,7.255090510539433E-4,7.256522717025393E-4,7.282031288214554E-4,7.257565767609751E-4,7.160895110574509E-4
5.470000000000091E-5,7.244830939838937E-4,7.25300064330047E-4,7.261834030822253E-4,7.288341456089438E-4,7.25614693334327E-4,7.160895110574317E-4
5.5750000000000935E-5,7.249836938174668E-4,7.253201235702369E-4,7.265661478215253E-4,7.291212550142559E-4,7.25640065130931E-4,7.160895110574359E-4
5.680000000000096E-5,7.2539186344369E-4,7.253263372832892E-4,7.268184406426716E-4,7.290492781734759E-4,7.25860983966527E-4,7.160895110574354E-4
5.7850000000000986E-5,7.25763545085935E-4,7.253922980911586E-4,7.270132831429606E-4,7.286591566685367E-4,7.260781211241927E-4,7.160895110574566E-4
5.890000000000101E-5,7.26130732486509E-4,7.255418695518086E-4,7.268940284028486E-4,7.279603915320295E-4,7.262294781578164E-4,7.160895110574288E-4
5.995000000000104E-5,7.264435165229863E-4,7.25698502289918E-4,7.263660669146725E-4,7.270081264456494E-4,7.26374020129577E-4,7.16089511057469E-4
6.100000000000106E-5,7.266709436625658E-4,7.257997136169437E-4,7.255658138974199E-4,7.259366713808496E-4,7.266012867627495E-4,7.160895110574285E-4
6.205000000000109E-5,7.268523308840964E-4,7.258486934517784E-4,7.244793233967671E-4,7.248561662652249E-4,7.268229747505264E-4,7.16089511057456E-4
6.310000000000111E-5,7.270080643243598E-4,7.258550938998162E-4,7.236031072808787E-4,7.239788762613459E-4,7.271191597244618E-4,7.160895110574602E-4
6.415000000000114E-5,7.271473691167896E-4,7.258681929976429E-4,7.231369505068983E-4,7.233202860144653E-4,7.274421355197804E-4,7.160895110574761E-4
6.520000000000116E-5,7.273189526398545E-4,7.259621782689983E-4,7.230197458192565E-4,7.229233760111632E-4,7.27634927038128E-4,7.160895110574736E-4
6.625000000000119E-5,7.275792228161674E-4,7.261891090178251E-4,7.232900836623809E-4,7.230076056320078E-4,7.276294199326184E-4,7.160895110574428E-4
6.730000000000122E-5,7.279945279896333E-4,7.267374613113019E-4,7.237465114853559E-4,7.234402515191599E-4,7.276130938845152E-4,7.160895110574375E-4
6.835000000000124E-5,7.285927593048808E-4,7.27538089165295E-4,7.242470454690632E-4,7.241326720601655E-4,7.274584942871267E-4,7.160895110574703E-4
6.940000000000127E-5,7.293657593798628E-4,7.283727026957131E-4,7.248418401705004E-4,7.250359524030714E-4,7.271057961591844E-4,7.160895110574447E-4
7.045000000000129E-5,7.302472015167673E-4,7.290532220882136E-4,7.254824603752045E-4,7.260800029769183E-4,7.26726895058689E-4,7.160895110574168E-4
7.150000000000132E-5,7.310474693269648E-4,7.294865543541973E-4,7.261333299262114E-4,7.269983286264077E-4,7.264507916415629E-4,7.160895110574501E-4
7.255000000000134E-5,7.316131324706085E-4,7.296665737725271E-4,7.268048375394726E-4,7.276795838024228E-4,7.263523264645186E-4,7.160895110575035E-4
7.360000000000137E-5,7.319532130232262E-4,7.296041876073596E-4,7.272949383363505E-4,7.281266904970132E-4,7.265347129879256E-4,7.160895110575278E-4
7.46500000000014E-5,7.321160241482786E-4,7.294179731355864E-4,7.275518844962E-4,7.283436062355103E-4,7.268752365541E-4,7.16089511057537E-4
7.570000000000142E-5,7.321610680151142E-4,7.291422042811777E-4,7.27662763293475E-4,7.283689171636232E-4,7.272535043381865E-4,7.160895110575347E-4
7.675000000000145E-5,7.321461242938812E-4,7.287254079532497E-4,7.276166613426076E-4,7.283140415904362E-4,7.275623483108754E-4,7.160895110575314E-4
7.780000000000147E-5,7.320605438896968E-4,7.282628234762348E-4,7.276806525872562E-4,7.282313824163803E-4,7.277946325055878E-4,7.160895110575524E-4
7.88500000000015E-5,7.319340483412655E-4,7.277381794619042E-4,7.279603003091884E-4,7.280850005169897E-4,7.281022113762838E-4,7.160895110575274E-4
7.990000000000152E-5,7.317908495378844E-4,7.271311796656392E-4,7.282975586570405E-4,7.278423092876052E-4,7.285661412179631E-4,7.160895110574867E-4
8.095000000000155E-5,7.316438417229051E-4,7.264399063857019E-4,7.286370674042198E-4,7.275493279022944E-4,7.290988273191753E-4,7.160895110575085E-4
8.200000000000157E-5,7.315216850104406E-4,7.25825970755091E-4,7.288707083994304E-4,7.272553291823589E-4,7.295404146812213E-4,7.160895110575361E-4
8.30500000000016E-5,7.314373736311632E-4,7.253460964007502E-4,7.289347742888035E-4,7.269991343168969E-4,7.29790547401236E-4,7.160895110575404E-4
8.415000000000163E-5,7.313596504711941E-4,7.250258977845748E-4,7.288550881091138E-4,7.26765578268614E-4,7.297049361907886E-4,7.160895110575321E-4
8.520000000000165E-5,7.312591688058523E-4,7.248996432219515E-4,7.287290264521926E-4,7.266001453007446E-4,7.293464266612274E-4,7.160895110575043E-4
8.625000000000168E-5,7.31140286167246E-4,7.25000612397702E-4,7.286072745471665E-4,7.264998780232263E-4,7.289837933533562E-4,7.160895110574977E-4
8.73000000000017E-5,7.30990505633333E-4,7.252670510304254E-4,7.284692908365155E-4,7.264792271191553E-4,7.287429875640932E-4,7.160895110575166E-4
8.835000000000173E-5,7.307894762486584E-4,7.255694577217651E-4,7.282546591867651E-4,7.266625615495802E-4,7.285482159592367E-4,7.160895110575297E-4
8.940000000000175E-5,7.305704514260979E-4,7.258590763313622E-4,7.280157076972308E-4,7.270515324796986E-4,7.283931021592134E-4,7.16089511057541E-4
9.045000000000178E-5,7.304119039351849E-4,7.261249660673881E-4,7.27801342438065E-4,7.275959891826038E-4,7.282272921587057E-4,7.160895110575578E-4
9.15000000000018E-5,7.303217376881891E-4,7.264525090141979E-4,7.276013274642444E-4,7.282998019199177E-4,7.278561406040054E-4,7.160895110575021E-4
9.255000000000183E-5,7.303017683657641E-4,7.268450828619472E-4,7.27328027416631E-4,7.288441630422855E-4,7.272740496830577E-4,7.160895110575368E-4
9.360000000000186E-5,7.303390601340237E-4,7.272682652679757E-4,7.271237076966507E-4,7.291850489668467E-4,7.266060348415431E-4,7.160895110576E-4
9.465000000000188E-5,7.304167054059321E-4,7.276364088333074E-4,7.270551612229202E-4,7.29399664728409E-4,7.259863423708405E-4,7.160895110576264E-4
9.57000000000019E-5,7.303922443030422E-4,7.278674604725839E-4,7.271429855051295E-4,7.294686192343548E-4,7.254181406618704E-4,7.160895110576178E-4
9.675000000000193E-5,7.329928564123443E-4,7.279345453270482E-4,7.275073544450969E-4,7.294149578073365E-4,7.250418460964308E-4,7.160895110576056E-4
9.780000000000196E-5,0.0017024907982603286,7.279596489339957E-4,7.281273586961363E-4,7.294526094384503E-4,7.248352947820868E-4,7.16089511057686E-4
