"Radial: Direction [0,1,0] (cm)","Radial: Density (kg/m^3)"
0.0,6.629472242661473E-4
0.06999999999999999,6.628074229517347E-4
0.13999999999999999,6.628074229517347E-4
0.21000000000000002,6.63096554612756E-4
0.27999999999999997,6.63096554612756E-4
0.35,6.651388393778877E-4
0.42000000000000004,6.651388393778877E-4
0.49000000000000005,6.717725590739236E-4
0.5599999999999999,6.717725590739236E-4
0.63,6.717725590739236E-4
0.7,6.724048699402228E-4
0.77,6.724048699402228E-4
0.8400000000000001,6.724048699402228E-4
0.91,6.670078462399012E-4
0.9800000000000001,6.670078462399012E-4
1.05,6.644009510703546E-4
1.1199999999999999,6.644009510703546E-4
1.1900000000000002,6.644009510703546E-4
1.26,6.604490637545051E-4
1.33,6.604490637545051E-4
1.4,6.593422186018246E-4
1.47,6.593422186018246E-4
1.54,6.624033913928925E-4
1.6100000000000003,6.624033913928925E-4
1.6800000000000002,6.624033913928925E-4
1.7500000000000002,6.846386931762165E-4
1.82,6.846386931762165E-4
1.89,7.72791677478633E-4
1.9600000000000002,7.72791677478633E-4
2.0300000000000002,0.0014892059480674236
